,WR,M1_Points,M2_Points,Mean,drafted
120,Tre'Quan Smith,56.3,56.61,56.46,False
119,DJ Chark,56.69,55.53,56.11,False
116,Troy Franklin,57.73,54.45,56.09,False
123,Michael Thomas,54.76,56.28,55.52,False
138,Quez Watkins,47.72,62.34,55.03,False
121,Danny Amendola,55.88,53.6,54.74,False
118,Isaiah McKenzie,57.66,50.77,54.22,False
115,Jonathan Mingo,58.72,48.14,53.43,False
128,James Washington,52.81,53.0,52.9,False
124,Parker Washington,54.44,50.89,52.66,False
144,Cedrick Wilson Jr.,46.86,58.22,52.54,False
127,Trey Palmer,52.98,50.52,51.75,False
156,Braxton Berrios,41.22,61.04,51.13,False
132,Cedric Tillman,51.65,49.76,50.7,False
129,Chester Rogers,52.73,47.31,50.02,False
133,Antoine Wesley,49.77,48.57,49.17,False
114,KaVontae Turpin,59.04,39.1,49.07,False
139,Kayshon Boutte,47.61,49.93,48.77,False
151,A.T. Perry,43.42,50.44,46.93,False
146,Damiere Byrd,46.4,47.03,46.72,False
141,Keelan Cole,47.23,46.19,46.71,False
143,Rashard Higgins,46.87,46.28,46.58,False
145,Bryan Edwards,46.5,46.38,46.44,False
134,Adonai Mitchell,49.41,43.26,46.33,False
142,Kenny Golladay,47.06,45.47,46.26,False
159,Julio Jones,41.1,50.61,45.86,False
170,Randall Cobb,38.47,51.97,45.22,False
150,Sammy Watkins,43.47,46.34,44.9,False
161,Kadarius Toney,40.08,49.45,44.76,False
149,David Moore,44.26,44.25,44.26,False
163,Jamal Agnew,39.97,47.7,43.84,False
147,Jalen Nailor,45.4,39.64,42.52,False
158,Marquise Goodwin,41.15,43.84,42.5,False
160,Sterling Shepard,40.18,41.87,41.02,False
155,Tavon Austin,41.4,39.94,40.67,False
153,Skyy Moore,42.38,38.91,40.64,False
162,Jordan Whittington,39.99,40.93,40.46,False
194,Byron Pringle,28.38,52.52,40.45,False
164,Malik Washington,39.75,41.06,40.4,False
165,DeSean Jackson,39.14,40.82,39.98,False
210,Mecole Hardman,21.58,57.77,39.67,False
148,Lil'Jordan Humphrey,45.14,33.63,39.39,False
166,Freddie Swain,38.99,39.1,39.04,False
167,T.Y. Hilton,38.94,39.09,39.02,False
172,Brandon Zylstra,38.27,39.19,38.73,False
188,Allen Robinson,29.75,46.89,38.32,False
157,Dante Pettis,41.18,32.55,36.86,False
173,DJ Turner,36.62,36.58,36.6,False
168,Dyami Brown,38.64,33.12,35.88,False
174,Isaiah Ford,36.17,34.89,35.53,False
175,Jake Bobo,35.67,35.06,35.36,False
177,Albert Wilson,35.15,35.18,35.16,False
179,Kendall Hinton,33.9,36.28,35.09,False
183,Malik Turner,32.89,36.9,34.89,False
178,Tajae Sharpe,34.73,34.78,34.75,False
171,Ja'Lynn Polk,38.32,30.33,34.33,False
199,Isaiah Hodgins,25.33,43.22,34.28,False
185,Cyril Grayson,31.8,36.42,34.11,False
176,Ryan Miller,35.17,32.83,34.0,False
181,John Metchie,33.58,33.08,33.33,False
180,Jakeem Grant,33.88,30.43,32.16,False
184,Brandon Powell,32.3,31.38,31.84,False
182,Shi Smith,33.27,30.28,31.78,False
197,Tyler Johnson,25.8,37.02,31.41,False
220,Parris Campbell,18.74,43.56,31.15,False
219,Deonte Harty,19.31,40.48,29.89,False
201,Jamison Crowder,24.96,34.65,29.8,False
189,Phillip Dorsett,29.68,28.67,29.18,False
190,Jalin Hyatt,28.99,28.44,28.72,False
193,KhaDarel Hodge,28.38,27.19,27.78,False
221,Treylon Burks,18.56,36.71,27.64,False
195,Cam Sims,27.52,27.49,27.5,False
187,Xavier Gipson,30.51,24.44,27.48,False
186,Brandon Johnson,30.72,23.98,27.35,False
192,Derius Davis,28.47,25.35,26.91,False
191,Equanimeous St. Brown,28.88,24.74,26.81,False
270,Laviska Shenault Jr.,9.73,43.86,26.8,False
196,Luke McCaffrey,26.88,25.94,26.41,False
203,Greg Ward,24.36,28.29,26.32,False
233,Zach Pascal,15.72,36.76,26.24,False
208,Ashton Dulin,22.22,29.99,26.1,False
198,Malik Heath,25.58,26.32,25.95,False
289,Robbie Chosen,6.68,45.06,25.87,False
202,Trenton Irwin,24.72,26.35,25.54,False
272,Devin Duvernay,9.04,41.36,25.2,False
200,Mohamed Sanu,24.97,25.02,24.99,False
207,David Bell,22.67,26.23,24.45,False
280,DeAndre Carter,7.57,41.28,24.42,False
206,Bo Melton,22.8,25.9,24.35,False
222,Terrace Marshall Jr.,18.45,29.87,24.16,False
229,Trent Sherfield,16.77,31.31,24.04,False
258,Jalen Guyton,11.71,35.03,23.37,False
204,Breshad Perriman,23.7,22.87,23.28,False
227,Jalen Reagor,17.42,27.32,22.37,False
209,Scott Miller,22.03,22.38,22.2,False
205,Kevin Austin,22.96,20.82,21.89,False
211,N'Keal Harry,21.44,21.52,21.48,False
212,Quintez Cephus,21.12,21.46,21.29,False
213,Bub Means,20.86,21.32,21.09,False
215,Alex Erickson,20.17,21.47,20.82,False
214,Denzel Mims,20.36,20.41,20.38,False
250,Tyquan Thornton,12.46,27.25,19.86,False
224,Anthony Schwartz,18.12,21.1,19.61,False
253,Ben Skowronek,11.91,27.19,19.55,False
217,Jalen Brooks,19.46,19.31,19.38,False
216,Mason Tipton,20.04,18.2,19.12,False
223,Xavier Hutchinson,18.16,17.95,18.06,False
218,Amari Rodgers,19.32,15.88,17.6,False
225,Kyle Philips,17.78,16.57,17.18,False
236,River Cracraft,14.6,19.66,17.13,False
228,Marcus Johnson,17.22,17.01,17.12,False
230,Jeff Smith,16.08,16.03,16.06,False
232,Kenny Stills,15.75,15.8,15.78,False
231,Trinity Benson,15.96,15.45,15.7,False
237,John Ross,14.26,16.22,15.24,False
234,Michael Bandy,15.65,14.39,15.02,False
307,Laquon Treadwell,4.55,25.09,14.82,False
271,Chris Conley,9.32,20.18,14.75,False
238,KJ Hamler,13.94,15.2,14.57,False
239,Jason Brownlee,13.92,14.3,14.11,False
240,Lynn Bowden Jr.,13.75,14.43,14.09,False
235,Chris Hogan,15.09,12.96,14.02,False
226,Tylan Wallace,17.62,10.27,13.94,False
248,Tom Kennedy,12.61,14.79,13.7,False
244,Ronnie Bell,13.16,14.08,13.62,False
241,Ryan Flournoy,13.75,13.12,13.43,False
245,Tyler Scott,13.07,13.7,13.38,False
243,Samori Toure,13.68,13.01,13.34,False
247,Dez Fitzpatrick,12.96,13.27,13.12,False
246,Rakim Jarrett,13.04,12.65,12.84,False
264,Ihmir Smith-Marsette,10.44,14.62,12.53,False
249,Johnny Wilson,12.53,12.49,12.51,False
242,Deven Thompkins,13.74,11.28,12.51,False
255,Kristian Wilkerson,11.85,12.94,12.4,False
252,Bryce Oliver,12.21,12.16,12.18,False
263,Ainias Smith,10.71,13.06,11.89,False
251,Dax Milne,12.25,11.22,11.74,False
257,Steven Sims,11.75,11.46,11.6,False
260,Josh Gordon,11.25,11.67,11.46,False
254,Preston Williams,11.88,11.01,11.44,False
256,Dede Westbrook,11.78,9.61,10.7,False
266,Tay Martin,10.19,10.87,10.53,False
277,Ty Montgomery,7.98,12.82,10.4,False
259,Justyn Ross,11.36,9.31,10.34,False
267,John Brown,10.1,10.37,10.24,False
273,Jermaine Burton,8.94,11.17,10.06,False
261,Michael Woods II,10.82,9.1,9.96,False
282,D'Wayne Eskridge,7.49,12.19,9.84,False
269,D.J. Montgomery,9.78,9.65,9.72,False
276,Auden Tate,8.54,10.3,9.42,False
294,James Proche,6.08,12.73,9.41,False
