,WR,Points
134,Luke McCaffrey,25.94
136,Bo Melton,25.9
117,Derius Davis,25.35
405,Laquon Treadwell,25.09
775,Mohamed Sanu,25.02
389,Equanimeous St. Brown,24.74
156,Xavier Gipson,24.44
200,Brandon Johnson,23.98
559,Breshad Perriman,22.87
163,Scott Miller,22.38
553,N'Keal Harry,21.52
326,Alex Erickson,21.47
599,Quintez Cephus,21.46
129,Bub Means,21.32
556,Anthony Schwartz,21.1
135,Kevin Austin,20.82
551,Denzel Mims,20.41
153,Chris Conley,20.18
162,River Cracraft,19.66
122,Jalen Brooks,19.31
148,Mason Tipton,18.2
140,Xavier Hutchinson,17.95
568,Marcus Johnson,17.01
356,Kyle Philips,16.57
204,John Ross,16.22
563,Jeff Smith,16.03
541,Amari Rodgers,15.88
787,Kenny Stills,15.8
794,Trinity Benson,15.45
549,KJ Hamler,15.2
558,Tom Kennedy,14.79
336,Ihmir Smith-Marsette,14.62
367,Lynn Bowden Jr.,14.43
570,Michael Bandy,14.39
368,Jason Brownlee,14.3
186,Ronnie Bell,14.08
205,Tyler Scott,13.7
790,Dez Fitzpatrick,13.27
155,Ryan Flournoy,13.12
146,Ainias Smith,13.06
379,Samori Toure,13.01
795,Chris Hogan,12.96
160,Kristian Wilkerson,12.94
390,Ty Montgomery,12.82
210,James Proche,12.73
141,Rakim Jarrett,12.65
149,Johnny Wilson,12.49
176,D'Wayne Eskridge,12.19
147,Bryce Oliver,12.16
209,Velus Jones Jr.,12.01
799,Josh Gordon,11.67
399,Steven Sims,11.46
185,Deven Thompkins,11.28
569,Dax Milne,11.22
143,Jermaine Burton,11.17
802,Preston Williams,11.01
145,Tay Martin,10.87
567,John Brown,10.37
797,Auden Tate,10.3
121,Tylan Wallace,10.27
139,Tyrell Shavers,10.14
565,Jalen Virgil,10.12
370,D.J. Montgomery,9.65
805,Dede Westbrook,9.61
391,Justyn Ross,9.31
798,Cameron Batson,9.26
166,Michael Woods II,9.1
566,David Sills,9.08
159,Devontez Walker,8.32
144,Simi Fehoko,8.12
177,Tim Jones,7.98
807,Ja'Marcus Bradley,7.95
585,Andre Baccellia,7.83
192,Anthony Miller,6.77
395,Keelan Doss,6.68
605,Penny Hart,6.62
584,Mike Thomas,6.53
161,Jacob Cowing,6.51
